影片名称,评分,类型,主演,上映日期,图片URL
通烟囱工人与牧羊女,7.9,喜剧／动画／奇幻,皮埃尔·布拉瑟／马塞尔·佩雷斯／皮埃尔·布拉瑟,1953-05-29,https://p0.pipi.cn/mmdb/d2dad5925377e1f0ee030c668ade95741b566.jpg?imageView2/1/w/218/h/300
夜店,6.6,剧情,石挥／童芷苓／周璇,1947-12-31,https://p0.pipi.cn/mmdb/d2dad592b1251be19b9ab45e4dbd196d59dae.jpg?imageView2/1/w/218/h/300
黑郁金香,7.7,喜剧／冒险／动作,阿兰·德龙／维尔娜·丽丝／阿道弗·马尔希利亚,1964-02-28,https://p0.pipi.cn/mmdb/d2dad592c7e7e1e19bc7ed4ce594a2c08c540.jpg?imageView2/1/w/218/h/300
音乐课,暂无评分,短片,,1909-10-06,https://p0.pipi.cn/mmdb/d2dad5927e10fa3ba3030cc789f946a243ba7.jpg?imageView2/1/w/218/h/300
朗德海花园场景,8.8,短片,哈里特·哈特利／阿道夫·李·普林斯／约瑟夫·惠特利,1888-10-14,https://p0.pipi.cn/basicdata/54ecded7b538d311e5c696a1c9c2789e10838.jpg?imageView2/1/w/218/h/300
儿童剧,暂无评分,剧情,Emile Cohl／让·杜兰德／Jacques Feyder,1913,https://p0.pipi.cn/mmdb/d2dad5920307e1cbae8d339b3b8f7a70c0234.jpg?imageView2/1/w/218/h/300
犬神家的谜 恶魔在跳舞,暂无评分,悬疑／犯罪,片冈千惠藏／小夜福子／Seizaburô Takahashi,1954-08-10,https://p0.pipi.cn/basicdata/54ecded75370e17df5d23c93a860e01c3539c.jpg?imageView2/1/w/218/h/300
黄昏双镖客,8.4,动作／西部／惊悚／剧情,克林特·伊斯特伍德／李·范·克里夫／克劳斯·金斯基,1965-12-18,https://p0.pipi.cn/mmdb/25bfd6718d3c69d236ecd80f16c7d089b2220.jpg?imageView2/1/w/218/h/300
斯巴达克斯,8.0,历史／动作／传记／剧情,柯克·道格拉斯／劳伦斯·奥利弗／简·西蒙斯,1960-10-07,https://p0.pipi.cn/mmdb/d2dad592c7e7e116bd39dd8c7f95432c0ac7b.jpg?imageView2/1/w/218/h/300
人鱼,7.6,动画／短片,劳尔·瑟瓦斯,1968,https://p0.pipi.cn/mmdb/d2dad5927e10fad7c392358899207cde84e46.jpg?imageView2/1/w/218/h/300
続・高校三年生,暂无评分,,仓石功／Kyôko Azuma／成田三树夫,1964-08-22,https://p0.pipi.cn/mmdb/d2dad59206d0fa3ba35015a4fa7c98ffa86c9.jpg?imageView2/1/w/218/h/300
罗生门,8.4,剧情／悬疑／犯罪,三船敏郎／森雅之／志村乔,1950-08-26,https://p0.pipi.cn/mmdb/d2dad592c7e7e1d2362ff7be46ddf7074b3ab.jpg?imageView2/1/w/218/h/300
西线无战事,8.4,剧情／战争,路易斯·沃海姆／文斯·巴尼特／刘·艾尔斯,1930-08-24,https://p0.pipi.cn/mmdb/d2dad592c7e7e107ac923569fe85515749e4f.jpg?imageView2/1/w/218/h/300
百万雄师下江南,暂无评分,纪录片／战争,,1949-01-01,https://p0.pipi.cn/mmdb/25bfd65151bc7eecd851ba9403ac0f403927e.jpg?imageView2/1/w/218/h/300
公民凯恩,8.4,剧情／悬疑,奥逊·威尔斯／多萝西·康明戈尔／阿格妮丝·摩尔海德,1941-05-01,https://p0.pipi.cn/mmdb/d2dad592c7e7e1d236537cb649f34c4f3696d.jpg?imageView2/1/w/218/h/300
宝莲灯,6.5,奇幻／古装,郑佩佩／井淼／林黛,1965-07-08,https://p0.pipi.cn/mmdb/d2dad592b12f2a5015be2ad252dfe94a41c88.jpg?imageView2/1/w/218/h/300
里斯本,暂无评分,纪录片,Adelina Abranches／Chaby Pinheiro／Augusto de Melo,1930-04-01,https://p0.pipi.cn/basicdata/54ecded7e7a8d33ba392352404720f1bcab4d.jpg?imageView2/1/w/218/h/300
Intikam yemini,暂无评分,剧情,Nurlan San／Gülbin Eray／伊迪利姆·冈加尔,1966,https://p0.pipi.cn/mmdb/d2dad59206de7a07ace19bfd90e6e088c563b.jpg?imageView2/1/w/218/h/300
霸王别姬,暂无评分,戏曲,,1929,https://p0.pipi.cn/mmdb/d2dad5927a302fcbaebe2ab918b8dcacf5475.jpg?imageView2/1/w/218/h/300
七武士 4K,9.1,剧情／动作／冒险,三船敏郎／志村乔／千秋实,1954-04-26,https://p0.pipi.cn/mmdb/54ecde3311ef2a57e2c7ed6b810bf21de670c.jpg?imageView2/1/w/218/h/300
洛可兄弟,8.5,剧情,阿兰·德龙／雷纳托·萨尔瓦托雷／安妮·吉拉尔多,1960-09-06,https://p0.pipi.cn/mmdb/d2dad592b12b1202ff395b03d964ae8f2230c.jpg?imageView2/1/w/218/h/300
罗马尼亚“云雀”民间舞蹈音乐团在北京的演出,暂无评分,纪录片,,1956,https://p0.pipi.cn/mmdb/d2dad5927a30e1cbaee19b6e4c422630b4188.jpg?imageView2/1/w/218/h/300
魂断蓝桥,9.0,剧情／爱情／战争,费雯·丽／罗伯特·泰勒／露塞尔·沃特森,1940-05-17,https://p0.pipi.cn/mmdb/d2dad52fc7e7e1537c3ba3668f2858ee3a7d7.jpg?imageView2/1/w/218/h/300
1900 - 巴黎万国博览会,暂无评分,纪录片,,1900-09,https://p0.pipi.cn/mmdb/d2dad5927e15bfd7c316bdec418d6fd79f866.jpg?imageView2/1/w/218/h/300
新青年,暂无评分,剧情,吴楚帆／Chu Po-Chuen／Tai-Hau Ho,1936-11-21,https://p0.pipi.cn/mmdb/d2dad5927e10fa71f7cf3eacea06cd822e277.jpg?imageView2/1/w/218/h/300
西北偏北,8.3,惊悚／悬疑／冒险,加里·格兰特／爱娃·玛丽·森特／詹姆斯·梅森,1959-07-17,https://p0.pipi.cn/mmdb/d2dad592c7e7e13ba311e5725371330d28216.jpg?imageView2/1/w/218/h/300
中途岛战役,7.4,纪录片／短片／战争,唐纳德·克里斯普／亨利·方达／简·达维尔,1942-09-14,https://p0.pipi.cn/basicdata/54ecded78078d311e5501522351c28b31ab3e.jpg?imageView2/1/w/218/h/300
影片名称,评分,类型,主演,上映日期,图片URL
